number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_lr,params_n_layers,params_n_units_l0,params_n_units_l1,params_n_units_l2,params_n_units_l3,params_n_units_l4,params_n_units_l5,params_optimizer,params_weight_decay,user_attrs_best_epoch,user_attrs_best_val_mae,user_attrs_model_params,state
62,1491.8026123046875,2026-03-24 00:35:26.018386,2026-03-24 00:35:36.425952,0 days 00:00:10.407566,64,0.013149599669971144,0.09681126531996401,3,14,57,34.0,,,,SGD,5.654985531864095e-05,142.0,1491.8026123046875,3198.0,COMPLETE
63,1542.239013671875,2026-03-24 00:35:36.442497,2026-03-24 00:35:43.720341,0 days 00:00:07.277844,64,0.0035131979969461715,0.08847065698688822,3,36,54,24.0,,,,SGD,3.005212617498197e-05,93.0,1542.239013671875,3895.0,COMPLETE
64,1586.4495849609375,2026-03-24 00:35:43.735293,2026-03-24 00:35:50.766119,0 days 00:00:07.030826,64,0.009046818835846083,0.09297322188838086,5,17,62,8.0,21.0,24.0,,SGD,4.5633286672977635e-05,69.0,1586.4495849609375,2779.0,COMPLETE
65,9267.603515625,2026-03-24 00:35:50.784658,2026-03-24 00:35:52.576553,0 days 00:00:01.791895,64,0.01873317747264366,0.028314306591418724,3,27,43,18.0,,,,Adam,1.661244192435046e-05,,,,PRUNED
66,1754.2655029296875,2026-03-24 00:35:52.589804,2026-03-24 00:36:03.404115,0 days 00:00:10.814311,64,0.027386095291495317,0.09767865854113576,2,20,64,,,,,SGD,3.732421110063513e-05,,,,PRUNED
67,1955.020751953125,2026-03-24 00:36:03.419869,2026-03-24 00:36:07.356300,0 days 00:00:03.936431,64,0.058919637758522235,0.08508285434273218,3,8,30,24.0,,,,SGD,5.947493402382142e-05,,,,PRUNED
68,1673.5369873046875,2026-03-24 00:36:07.375537,2026-03-24 00:36:17.656735,0 days 00:00:10.281198,32,0.032009097291940965,0.08118511813085905,4,11,20,28.0,11.0,,,RMSprop,0.0001125113927086031,54.0,1673.5369873046875,1398.0,COMPLETE
69,1422.9970703125,2026-03-24 00:36:17.673082,2026-03-24 00:36:26.916773,0 days 00:00:09.243691,64,0.0017365603947525146,0.08901535353952443,3,30,52,30.0,,,,SGD,2.334875252891653e-05,132.0,1422.9970703125,3727.0,COMPLETE
70,1617.3343505859375,2026-03-24 00:36:26.933185,2026-03-24 00:36:45.890713,0 days 00:00:18.957528,16,0.0017502679425818127,0.08840564598498273,3,39,52,35.0,,,,SGD,2.329019168750399e-05,97.0,1617.3343505859375,4574.0,COMPLETE
71,1531.4814453125,2026-03-24 00:36:45.908140,2026-03-24 00:36:51.681274,0 days 00:00:05.773134,64,0.006986691538780917,0.09446427580438593,3,29,55,29.0,,,,SGD,2.8441447201740843e-05,60.0,1531.4814453125,3791.0,COMPLETE
72,1436.9285888671875,2026-03-24 00:36:51.695782,2026-03-24 00:37:02.049291,0 days 00:00:10.353509,64,0.0001261900192252859,0.09704306204845406,3,34,58,30.0,,,,SGD,3.4180521617308674e-05,158.0,1436.9285888671875,4381.0,COMPLETE
73,1418.8607177734375,2026-03-24 00:37:02.065690,2026-03-24 00:37:08.660714,0 days 00:00:06.595024,64,0.0009187599044764422,0.09085545360498445,3,34,50,30.0,,,,SGD,3.3803391638564415e-05,78.0,1418.8607177734375,3845.0,COMPLETE
74,1462.282470703125,2026-03-24 00:37:08.677114,2026-03-24 00:37:20.306626,0 days 00:00:11.629512,64,2.5431799204937873e-05,0.08976507895819168,3,31,58,39.0,,,,SGD,3.394066564446852e-05,161.0,1462.282470703125,4732.0,COMPLETE
75,1434.62451171875,2026-03-24 00:37:20.852295,2026-03-24 00:37:36.746560,0 days 00:00:15.894265,64,0.003407103808928013,0.09184067893177869,6,35,47,30.0,29.0,63.0,34.0,SGD,4.2724287216205876e-05,168.0,1434.62451171875,8923.0,COMPLETE
76,1473.2476806640625,2026-03-24 00:37:36.763069,2026-03-24 00:37:45.150306,0 days 00:00:08.387237,64,0.0030846698296616687,0.09202232059093982,6,35,48,31.0,28.0,61.0,32.0,SGD,3.069916875220052e-05,69.0,1473.2476806640625,8714.0,COMPLETE
77,1481.703125,2026-03-24 00:37:45.166086,2026-03-24 00:38:01.302784,0 days 00:00:16.136698,64,0.0059219291875155095,0.08474044995859302,6,33,50,29.0,37.0,52.0,52.0,SGD,4.062202251937288e-05,171.0,1481.703125,9877.0,COMPLETE
78,1536.63671875,2026-03-24 00:38:01.449959,2026-03-24 00:38:13.637990,0 days 00:00:12.188031,64,0.0014742076298986054,0.09550347919779514,6,38,46,31.0,32.0,38.0,21.0,SGD,2.604826772868787e-05,128.0,1536.63671875,7124.0,COMPLETE
79,1590.701904296875,2026-03-24 00:38:13.655658,2026-03-24 00:38:23.660181,0 days 00:00:10.004523,64,0.010265855123161092,0.09090555975347772,6,35,55,26.0,43.0,30.0,45.0,Adam,1.865723498936183e-05,62.0,1590.701904296875,8141.0,COMPLETE
80,1396.21630859375,2026-03-24 00:38:23.679466,2026-03-24 00:38:40.754810,0 days 00:00:17.075344,64,0.00548061245548463,0.08816515664415472,5,30,52,22.0,40.0,45.0,,SGD,4.3071895383397215e-05,148.0,1396.21630859375,6237.0,COMPLETE
81,1340.6695556640625,2026-03-24 00:38:40.771125,2026-03-24 00:39:03.499780,0 days 00:00:22.728655,64,0.005037926450941474,0.08699503844095463,5,31,52,20.0,41.0,45.0,,SGD,4.285873095742989e-05,204.0,1340.6695556640625,6178.0,COMPLETE
82,1408.603271484375,2026-03-24 00:39:03.549788,2026-03-24 00:39:16.092352,0 days 00:00:12.542564,64,0.004740286888337662,0.08272820386349436,5,30,52,23.0,40.0,45.0,,SGD,4.317027015964071e-05,100.0,1408.603271484375,6332.0,COMPLETE
83,1379.9959716796875,2026-03-24 00:39:16.110284,2026-03-24 00:39:31.141148,0 days 00:00:15.030864,64,0.004852127594332245,0.08209056280951854,5,30,52,20.0,40.0,44.0,,SGD,5.169988826773918e-05,157.0,1379.9959716796875,6003.0,COMPLETE
84,1452.0035400390625,2026-03-24 00:39:31.159213,2026-03-24 00:39:42.205945,0 days 00:00:11.046732,64,0.005757475724430518,0.08138786034253473,5,31,52,20.0,40.0,45.0,,SGD,5.12642185340592e-05,95.0,1452.0035400390625,6110.0,COMPLETE
85,1469.490478515625,2026-03-24 00:39:42.228260,2026-03-24 00:39:54.690289,0 days 00:00:12.462029,64,0.008441286691165903,0.08746165598256485,5,30,53,23.0,44.0,44.0,,SGD,6.364845378924586e-05,113.0,1469.490478515625,6624.0,COMPLETE
86,1495.6798095703125,2026-03-24 00:39:54.709097,2026-03-24 00:40:04.731922,0 days 00:00:10.022825,64,0.004739259018871916,0.07756606875841777,5,26,50,17.0,38.0,52.0,,SGD,4.9440898007494254e-05,93.0,1495.6798095703125,5582.0,COMPLETE
87,1494.58544921875,2026-03-24 00:40:04.748760,2026-03-24 00:40:20.624057,0 days 00:00:15.875297,32,0.0024272240650568657,0.08297058280317145,5,29,54,22.0,35.0,41.0,,SGD,4.2081328810649775e-05,92.0,1494.58544921875,5776.0,COMPLETE
88,1411.0736083984375,2026-03-24 00:40:20.642671,2026-03-24 00:40:46.404448,0 days 00:00:25.761777,64,0.01520501800262255,0.08523692178192697,5,33,51,20.0,45.0,48.0,,SGD,8.584790798699164e-05,287.0,1411.0736083984375,6667.0,COMPLETE
89,1419.8204345703125,2026-03-24 00:40:46.428221,2026-03-24 00:41:10.454526,0 days 00:00:24.026305,64,0.013997920862396781,0.07995949435085949,5,24,51,20.0,45.0,48.0,,RMSprop,8.506688498034016e-05,181.0,1419.8204345703125,6109.0,COMPLETE
90,1425.03662109375,2026-03-24 00:41:10.474657,2026-03-24 00:41:31.088433,0 days 00:00:20.613776,64,0.013720079486166974,0.07297004522463714,5,33,44,20.0,45.0,49.0,,RMSprop,8.239519261794216e-05,161.0,1425.03662109375,6324.0,COMPLETE
91,1469.7242431640625,2026-03-24 00:41:31.109297,2026-03-24 00:41:47.978677,0 days 00:00:16.869380,64,0.01579589772754845,0.08588610517191109,5,27,56,19.0,40.0,47.0,,RMSprop,9.09607322867396e-05,113.0,1469.7242431640625,6047.0,COMPLETE
